timestamp,mem_usage,cpu_perc
2026-06-28T14:23:35Z,346.2MiB / 7.654GiB,21.15%
2026-06-28T14:23:42Z,346.5MiB / 7.654GiB,21.66%
2026-06-28T14:23:48Z,346.2MiB / 7.654GiB,22.90%
2026-06-28T14:23:55Z,346.2MiB / 7.654GiB,21.65%
2026-06-28T14:24:02Z,346.5MiB / 7.654GiB,23.36%
2026-06-28T14:24:08Z,350.2MiB / 7.654GiB,22.10%
2026-06-28T14:24:15Z,346.5MiB / 7.654GiB,25.63%
2026-06-28T14:24:22Z,346.5MiB / 7.654GiB,22.09%
2026-06-28T14:24:28Z,346.3MiB / 7.654GiB,24.19%
2026-06-28T14:24:35Z,346.6MiB / 7.654GiB,27.05%
2026-06-28T14:24:42Z,346.8MiB / 7.654GiB,22.37%
2026-06-28T14:24:48Z,346.5MiB / 7.654GiB,23.00%
2026-06-28T14:24:55Z,346.3MiB / 7.654GiB,25.07%
2026-06-28T14:25:02Z,346.3MiB / 7.654GiB,22.02%
2026-06-28T14:25:08Z,346.3MiB / 7.654GiB,24.81%
2026-06-28T14:25:15Z,346.3MiB / 7.654GiB,24.19%
2026-06-28T14:25:22Z,346.3MiB / 7.654GiB,22.96%
2026-06-28T14:25:28Z,346.3MiB / 7.654GiB,19.80%
2026-06-28T14:25:35Z,346.5MiB / 7.654GiB,24.07%
2026-06-28T14:25:42Z,346.3MiB / 7.654GiB,23.23%
2026-06-28T14:25:48Z,346.8MiB / 7.654GiB,22.43%
2026-06-28T14:25:55Z,346.6MiB / 7.654GiB,26.32%
2026-06-28T14:26:02Z,346.5MiB / 7.654GiB,24.58%
2026-06-28T14:26:09Z,346.5MiB / 7.654GiB,21.71%
